level	headword	pos	en	vi	soat
A1	book	noun	A set of printed pages bound together in a cover.	quyển sách	ok
A1	child	noun	A young human being, below the age of an adult.	đứa trẻ, trẻ em	ok
A1	go	verb	To move or travel from one place to another.	đi	ok
A1	good	adj	Of a high standard or quality.	tốt, hay, giỏi	ok
A1	make	verb	To produce or create something.	làm, tạo ra	ok
A1	quickly	adv	At a fast speed, or after only a short time.	một cách nhanh chóng	ok
A1	run	verb	To move quickly on foot, faster than walking.	chạy	ok
A1	water	noun	The clear liquid that falls as rain and that people drink.	nước	ok
A2	book	verb	To arrange for a seat, room or table to be kept for you.	đặt chỗ, đặt trước	ok
B1	affair	noun	(often in the plural) Something which is done or is to be done; business of any kind, commercial, professional, or public.	công việc, sự vụ	ok
B1	affair	noun	A material object (vaguely designated).	thứ, món đồ	ok
B1	affair	noun	An adulterous relationship, chiefly of a married person. (from affaire de cœur, affair of the heart).	chuyện ngoại tình, ngoại tình	ok
B1	affair	noun	Any proceeding or action which it is wished to refer to or characterize vaguely.	vụ việc, chuyện	ok
B1	airport	noun	An airfield (an area designated for the takeoff and landing of aircraft), including one or more runways and (for commercial airports) one or more passenger terminals.	sân bay	ok
B1	amount	noun	(nonstandard, sometimes proscribed) The number (the sum) of elements in a set.	(không chuẩn) số lượng	ok
B1	amount	noun	A quantity or volume.	lượng, số lượng	ok
B1	amount	noun	The total, aggregate or sum of material (not applicable to discrete numbers or units or items in standard English).	tổng lượng, tổng số	ok
B1	amount	verb	(intransitive, followed by to) To be the tantamount to; to reach up to the level of.	tương đương với, chẳng khác gì	ok
B1	amount	verb	(intransitive, followed by to) To total or evaluate.	lên tới, tổng cộng là	ok
B1	artist	noun	(often in combination) A person who is skilled at some activity.	bậc thầy, cao thủ	ok
B1	artist	noun	A person who creates art.	nghệ sĩ	ok
B1	artist	noun	A person who creates visual art (in contrast to literature, music etc.)	họa sĩ, nghệ sĩ tạo hình	ok
B1	artist	noun	A recording artist.	ca sĩ, nghệ sĩ thu âm	ok
B1	ashamed	adj	(chiefly of someone in trouble and undergoing punishment for doing something wrong) Feeling shame or guilt.	xấu hổ, hổ thẹn	ok
B1	assistant	adj	Having a subordinate or auxiliary position.	phụ, trợ lý	ok
B1	assistant	adj	Helping; lending aid or support; auxiliary.	hỗ trợ, phụ trợ	ok
B1	assistant	noun	(British) Sales assistant.	(Anh) nhân viên bán hàng	ok
B1	assistant	noun	A person who assists or helps someone else.	phó thủ	sai tiếng Việt: "phó thủ" không phải từ tiếng Việt chuẩn (chỉ có trong tổ hợp như "phó thủ trưởng") — nên là "trợ lý, người phụ tá, người giúp việc"
B1	assistant	noun	A software tool that provides assistance in some task, a wizard program.	trợ lý (phần mềm), trình hướng dẫn	ok
B1	assume	verb	To adopt a feigned quality or manner; to claim without right; to arrogate.	giả bộ, mạo nhận	ok
B1	assume	verb	To authenticate by means of belief; to surmise; to suppose to be true, especially without proof.	cho rằng	ok
B1	assume	verb	To receive, adopt (a person).	thu nhận, tiếp nhận (một người)	ok
B1	assume	verb	To take on a position, duty or form.	nhậm chức	nghĩa quá hẹp: "nhậm chức" chỉ phủ việc nhận chức vụ, sót "duty or form" — nên là "đảm nhận (chức vụ, nhiệm vụ), mang (hình dạng)"
B1	attorney	noun	(Philippines, sometimes US) An honorific given to lawyers and notaries public, or those holders by profession who also do other jobs. Usually capitalized or abbreviated as Atty.	luật sư	mất nhãn và sai nghĩa: đây là danh xưng kính trọng (Atty.) ở Philippines, không phải nghề nghiệp — nên là "(Philippines) danh xưng kính trọng dành cho luật sư, công chứng viên (Atty.)"
B1	attorney	noun	(US) A lawyer; one who advises or represents others in legal matters as a profession.	luật sư	mất nhãn vùng (US) — nên là "(Mỹ) luật sư"
B1	attorney	noun	A prosecutor.	công tố viên	ok
B1	attorney	noun	An attorney tree (Clusia spp.)		
B1	avoid	verb	(transitive) To keep away from; to keep clear of; to stay away from.	tránh	ok
B1	avoid	verb	(transitive) To stay out of the way of (something harmful).	tránh, né tránh	ok
B1	avoid	verb	(transitive) To try not to do something or to have something happen.	tránh, cố không làm	ok
B1	avoid	verb	(transitive) To try not to meet or communicate with (a person); to shun.	tránh mặt, lảng tránh	ok
B1	bath	noun	(historical units of measure) A former Hebrew unit of liquid volume (about 23 L or 6 gallons).	(lịch sử) đơn vị đo thể tích cổ của người Hebrew (khoảng 23 lít)	ok
B1	bath	noun	A building or area where bathing occurs.	phòng tắm	sai nghĩa: nghĩa này là tòa nhà/khu vực để tắm (nhà tắm công cộng), không phải phòng tắm trong nhà — nên là "nhà tắm, khu tắm"
B1	bath	noun	A tub or pool which is used for bathing: bathtub.	bồn tắm	ok
B1	bath	noun	Specifically, bathing by immersing the body in water, rather than through other means, or an instance of this.	sự tắm, tắm bồn	ok
B1	bath	noun	The act of bathing; an instance of this; the taking of a bath.	tắm	ok
B1	bath	verb	(intransitive, informal, Commonwealth) To bathe (oneself); to have a bath.	(Anh, khẩu ngữ) tắm	ok
B1	bath	verb	(transitive, Commonwealth) To wash a person or animal in a bath.	(Anh) tắm cho (người/con vật)	ok
B1	bedroom	noun	(euphemistic) The location of sexual activity.	(uyển ngữ) chuyện giường chiếu	ok
B1	bedroom	noun	A room in a house, apartment, hotel, or other dwelling where a bed is kept for sleeping.	phòng ngủ	ok
B1	bike	noun	(chiefly Scotland, by extension, collective) A crowd of people.	(Scotland) đám đông	ok
B1	bike	noun	(Scotland, Northern England) A hive of bees, or a nest of wasps, hornets, or ants.	(Scotland, Bắc Anh) tổ ong, tổ kiến	ok
B1	bike	noun	(slang, derogatory) Ellipsis of village bike.	(tiếng lóng, miệt thị) gái lẳng lơ, đồ lăng loàn	ok
B1	bike	noun	Any vehicle sharing some characteristics with a bicycle or motorbike, such as pedal power, a handlebar, or a saddle.	xe đạp	nghĩa quá hẹp: nghĩa này là mọi phương tiện có đặc điểm giống xe đạp/xe máy, trùng với dòng "Clipping of bicycle" — nên là "xe hai bánh (kiểu xe đạp/xe máy)"
B1	bike	noun	Clipping of bicycle.	xe đạp	ok
B1	bike	noun	Clipping of motorbike.	xe máy	ok
B1	bike	verb	(intransitive) To ride a bike.	đạp xe	ok
B1	bike	verb	(intransitive) To travel by bike.	đi xe đạp, đạp xe	ok
B1	bike	verb	(transitive) To transport by bicycle.	chở bằng xe đạp	ok
B1	bleep	noun	(euphemistic) A general euphemism for any expletive.	(uyển ngữ) tiếng "bíp" (thay cho từ tục)	ok
B1	bleep	noun	(medicine, UK) A pager, usually one held by a doctor or nurse in a hospital.	(y học, Anh) máy nhắn tin	ok
B1	bleep	noun	(music, slang, uncountable) A broad genre of electronic music with goth and industrial influences, as opposed to traditional gothic rock.	(âm nhạc) dòng nhạc điện tử bleep	ok
B1	bleep	noun	A brief high-pitched sound, as from some electronic device.	tiếng bíp	ok
B1	bleep	verb	(intransitive) To emit one or more bleeps.	kêu bíp bíp, phát tiếng bíp	ok
B1	bleep	verb	(medicine, UK) To contact someone by pager.	(y học, Anh) nhắn tin qua máy nhắn tin	ok
B1	bleep	verb	(transitive) To edit out inappropriate spoken language in a broadcast by replacing offending words with bleeps.	bíp đi, che bằng tiếng bíp	ok
B1	bless	phrase	(UK, Canada, informal) Used as an expression of endearment, gratitude, or (ironically) belittlement.	(Anh, Canada, khẩu ngữ) tội quá, đáng yêu quá	ok
B1	bless	verb	To esteem or account happy; to felicitate.	cho là may mắn, chúc mừng	ok
B1	bless	verb	To honor as holy, glorify; to extol for excellence.	tôn vinh, ca ngợi	ok
B1	bless	verb	To invoke divine favor upon.	cầu phúc, ban phước	ok
B1	bless	verb	To make something holy by religious rite, sanctify.	làm phép, thánh hóa	ok
B1	block	noun	A contiguous group of urban lots of property, typically several acres in extent, not crossed by public streets.	khu nhà, dãy phố	ok
B1	block	noun	A logical extent or region; a grouping or apportionment of like things treated together as a unit.	khối, cụm	ok
B1	block	noun	A physical area or extent of something, often rectangular or approximately rectangular.	khối, tảng	ok
B1	block	noun	A substantial, often approximately cuboid, piece of any substance.	bờ lốc	"bờ lốc" là phiên âm của block, không phải từ tiếng Việt mang nghĩa này — nên là "khối, tảng, cục (vật chất)"
B1	block	verb	(transitive, theater) To specify the positions and movements of the actors for (a section of a play or film).	(sân khấu) dàn cảnh, bố trí diễn xuất	ok
B1	block	verb	(transitive) To fill or obstruct (something) so that it is not possible to pass.	chặn, làm tắc nghẽn	ok
B1	block	verb	(transitive) To prevent (something from happening or someone from doing something).	ngăn cản, ngăn chặn	ok
B1	block	verb	(transitive) To prevent (something or someone) from passing.	chặn, cản (không cho qua)	ok
B1	bread	noun	(countable) Any variety of bread.	loại bánh mì	ok
B1	bread	noun	(slang, US or Cockney) Money.	(tiếng lóng) tiền, xèng	ok
B1	bread	noun	A foodstuff made by baking dough made from cereals.	bánh mì	ok
B1	bread	noun	A piece of embroidery; a braid.	dải bện, đường viền thêu	ok
B1	bread	noun	Food; sustenance; support of life, in general.	cái ăn, miếng cơm manh áo	ok
B1	bread	verb	(transitive) To coat with breadcrumbs.	tẩm bột chiên xù, lăn bột bánh mì	ok
B1	bread	verb	(transitive) To form in meshes; net.	bện, đan	ok
B1	cancer	noun	(figuratively) Something damaging that spreads throughout something else.	(nghĩa bóng) ung nhọt, tệ nạn lan tràn	ok
B1	cancer	noun	(medicine, oncology, pathology) A disease in which the cells of a tissue undergo uncontrolled (and often rapid) proliferation.	(y học) ung thư	ok
B1	castle	noun	(chess, informal) A rook; a chess piece shaped like a castle tower.	(cờ vua, thông tục) quân xe	ok
B1	castle	noun	(chess) An instance of castling.	(cờ vua) nước nhập thành	ok
B1	castle	noun	(shogi) A defense structure in shogi formed by defensive pieces surrounding the king.	(shogi) thế trận phòng thủ quanh vua	ok
B1	castle	noun	A large residential building or compound that is fortified and contains many defences; in previous ages often inhabited by a nobleman or king. Also, a house or mansion with some of the architectural features of medieval castles.	lâu đài	ok
B1	castle	verb	(transitive, figurative) To protect or separate in a similar way.	(nghĩa bóng) bảo vệ, che chắn	ok
B1	castle	verb	(transitive) To house or keep in a castle.	cho trú ngụ trong lâu đài	ok
B1	castle	verb	(usually intransitive, chess) To move the king 2 squares right or left and, in the same turn, the nearest rook to the far side of the king. The move now has special rules: the king cannot be in, go through, or end in check; the squares between the king and rook must be vacant; and neither piece may have been moved before castling.	(cờ vua) nhập thành	ok
B1	castle	verb	(usually intransitive, shogi) To create a similar defensive position in Japanese chess through several moves.	(shogi) lập thế phòng thủ cho vua	ok
B1	celebrate	verb	(transitive or intransitive) To engage in joyful activity in appreciation of an event.	mừng	ok
B1	celebrate	verb	(transitive) To extol or honour in a solemn manner.	ca tụng, tôn vinh	ok
B1	celebrate	verb	(transitive) To honour by rites, by ceremonies of joy and respect, or by refraining from ordinary business; to observe duly.	ăn mừng, kỷ niệm, tổ chức lễ	ok
B1	celebrate	verb	(transitive) To perform or participate in, as a sacrament or solemn rite; to perform with appropriate rites.	(tôn giáo) cử hành (lễ)	ok
B1	century	noun	A hundred things of the same kind; a hundred.	một trăm	ok
B1	century	noun	A period of one hundred consecutive years; often specifically a numbered period with conventional start and end dates, e.g., the twentieth century, which stretches from (strictly) 1901 through 2000, or (informally) 1900 through 1999. The first century AD was from 1 to 100.	thế kỷ	ok
B1	century	noun	A political division of ancient Rome, meeting in the Centuriate Assembly.	(lịch sử La Mã) đơn vị chính trị (bách nhân)	ok
B1	century	noun	A unit in ancient Roman army, originally of one hundred army soldiers as part of a cohort, later of more varied sizes (but typically containing sixty to seventy or eighty) soldiers or other men (guards, police, firemen), commanded by a centurion.	(lịch sử La Mã, quân sự) đội bách nhân	ok
B1	chase	noun	(British) A large country estate where game may be shot or hunted.	(Anh) khu đất săn bắn tư nhân	ok
B1	chase	noun	(printing) A rectangular steel or iron frame into which pages or columns of type are locked for printing or plate-making.	(in ấn) khung kẹp bản in	ok
B1	chase	noun	(shipbuilding) A kind of joint by which an overlap joint is changed to a flush joint by means of a gradually deepening rabbet, as at the ends of clinker-built boats.		
B1	chase	noun	(uncountable) A children's game where one player chases another.	trò đuổi bắt	ok
B1	chase	noun	A groove cut in an object; a slot: the chase for the quarrel on a crossbow.	rãnh, khe	ok
B1	chase	noun	A hunt; the act of hunting; the pursuit of game.	cuộc săn, sự săn đuổi	ok
B1	chase	noun	The act of one who chases another; a pursuit.	cuộc rượt đuổi, sự truy đuổi	ok
B1	chase	noun	The cavity of a mold.	(kỹ thuật đúc) lòng khuôn	ok
B1	chase	noun	The part of a gun in front of the trunnions.	(quân sự) phần nòng súng phía trước trục quay	ok
B1	chase	verb	(transitive, baseball) To swing at a pitch outside of the strike zone, typically an outside pitch.	(bóng chày) vung gậy đánh bóng ngoài vùng đánh hợp lệ	ok
B1	chase	verb	(transitive, cricket) To attempt to win by scoring the required number of runs in the final innings.	(cricket) đuổi theo số điểm cần để thắng	ok
B1	chase	verb	(transitive) To consume another beverage immediately after drinking hard liquor, typically something better tasting or less harsh such as soda or beer; to use a drink as a chaser.	uống (đồ uống) ngay sau khi uống rượu mạnh	ok
B1	chase	verb	(transitive) To cut (the thread of a screw).	(kỹ thuật) tiện ren, cắt ren	ok
B1	chase	verb	(transitive) To decorate (metal) by engraving or embossing.	(kỹ thuật) chạm khắc, chạm nổi (kim loại)	ok
B1	chase	verb	(transitive) To groove; indent.	khoét rãnh, đục rãnh	ok
B1	chase	verb	(transitive) To place piping or wiring in a groove encased within a wall or floor, or in a hidden space encased by a wall.	(xây dựng) đục rãnh âm tường (để đi ống, dây điện)	ok
B1	chase	verb	(transitive) To pursue.	đuổi theo, truy đuổi, rượt đuổi	ok
B1	cheap	adj	(slang, of an action or tactic in a game of skill) Underhanded or unfair.	(thông tục) chơi bẩn, ăn gian	ok
B1	cheap	adj	Low or reduced in price.	rẻ	ok
